DATE,COUNTY,INDIVIDUALS,CASELOADS,ISSUANCE
2011-03-01,Putnam,14422,7021,1935451
2011-03-01,Rhea,8326,3893,1094976
2011-03-01,Roane,9955,4807,1269627
2011-03-01,Robertson,11830,5563,1632982
2011-03-01,Rutherford,38507,17250,5318372
2011-03-01,Scott,8225,3967,1010437
2011-03-01,Sequatchie,3956,1780,522899
2011-03-01,Sevier,17789,7814,2321534
2011-03-01,Shelby,251003,121404,35795210
2011-03-01,Smith,4051,1818,535439
2011-03-01,Stewart,2348,988,277095
2011-03-01,Sullivan,28307,13507,3583883
2011-03-01,Sumner,22749,10308,3137785
2011-03-01,Tipton,13418,6271,1809013
2011-03-01,Trousdale,1745,810,221577
2011-03-01,Unicoi,3974,1931,485307
2011-03-01,Union,5380,2338,677354
2011-03-01,Van Buren,1335,601,156963
2011-03-01,Warren,9660,4462,1210041
2011-03-01,Washington,18792,9580,2494104
2011-03-01,Wayne,3323,1597,404199
2011-03-01,Weakley,6984,3525,889240
2011-03-01,White,6037,2722,746256
2011-03-01,Williamson,7873,3445,1059376
2011-03-01,Wilson,14329,6778,1952288
2011-04-01,Anderson,15208,7244,1962721
2011-04-01,Bedford,10851,5140,1529679
2011-04-01,Benton,3622,1804,444118
2011-04-01,Bledsoe,3569,1625,450785
2011-04-01,Blount,19296,9252,2601242
2011-04-01,Bradley,19896,9323,2583791
2011-04-01,Campbell,12912,6543,1648646
2011-04-01,Cannon,3303,1579,439188
2011-04-01,Carroll,7031,3305,890728
2011-04-01,Carter,12160,5811,1472248
2011-04-01,Cheatham,6494,2834,870195
2011-04-01,Chester,3573,1664,453512
2011-04-01,Claiborne,8318,3979,1014416
2011-04-01,Clay,2239,1124,270612
2011-04-01,Cocke,11510,5684,1471841
2011-04-01,Coffee,11001,4956,1447938
2011-04-01,Crockett,3391,1631,442609
2011-04-01,Cumberland,10990,5121,1403003
2011-04-01,Davidson,122268,60462,17316599
2011-04-01,Decatur,2727,1352,339667
2011-04-01,Dekalb,4619,2241,623664
2011-04-01,Dickson,9603,4413,1303776
2011-04-01,Dyer,9670,4662,1237484
2011-04-01,Fayette,7123,3682,937935
2011-04-01,Fentress,5904,2891,718017
2011-04-01,Franklin,6600,2992,808634
2011-04-01,Gibson,11292,5479,1453258
2011-04-01,Giles,5884,2834,761677
2011-04-01,Grainger,5164,2268,638032
2011-04-01,Greene,12952,6187,1654224
2011-04-01,Grundy,5090,2401,635232
2011-04-01,Hamblen,12945,6239,1692332
2011-04-01,Hamilton,57266,29122,7949880
2011-04-01,Hancock,2618,1257,311485
2011-04-01,Hardeman,7064,3530,913965
2011-04-01,Hardin,6926,3402,862296
2011-04-01,Hawkins,12460,5733,1558194
2011-04-01,Haywood,6021,3143,768175
2011-04-01,Henderson,6698,3362,843603
2011-04-01,Henry,7557,3555,969148
2011-04-01,Hickman,6222,2805,807640
2011-04-01,Houston,1757,763,213026
2011-04-01,Humphreys,3597,1581,449081
2011-04-01,Jackson,2859,1428,362288
2011-04-01,Jefferson,10885,5055,1402708
2011-04-01,Johnson,4510,2377,557268
2011-04-01,Knox,64974,32972,8807696
2011-04-01,Lake,2250,1204,292795
2011-04-01,Lauderdale,7931,3821,1028892
2011-04-01,Lawrence,8847,4111,1102688
2011-04-01,Lewis,3225,1505,399657
2011-04-01,Lincoln,6843,3177,864106
2011-04-01,Loudon,7053,3237,917471
2011-04-01,Macon,6186,2779,802406
2011-04-01,Madison,19849,9659,2593571
2011-04-01,Marion,7085,3404,928156
2011-04-01,Marshall,6173,2812,795333
2011-04-01,Maury,16549,7833,2207188
2011-04-01,Meigs,3231,1484,423822
2011-04-01,Monroe,10463,4837,1305743
2011-04-01,Montgomery,23806,10681,3226077
2011-04-01,Moore,902,361,106680
2011-04-01,Morgan,5037,2347,648452
2011-04-01,McMinn,10934,5198,1404411
2011-04-01,McNairy,7742,3795,960294
2011-04-01,Obion,6506,3073,796932
2011-04-01,Overton,4895,2325,596957
2011-04-01,Perry,2052,957,257723
2011-04-01,Pickett,1021,537,121211
2011-04-01,Polk,4064,1806,496745
2011-04-01,Putnam,14248,6935,1900484
2011-04-01,Rhea,8240,3862,1081178
2011-04-01,Roane,9839,4760,1245686
2011-04-01,Robertson,11709,5516,1608891
2011-04-01,Rutherford,38096,17092,5244469
2011-04-01,Scott,8166,3934,1002918
2011-04-01,Sequatchie,3835,1739,505549
2011-04-01,Sevier,17518,7708,2275282
2011-04-01,Shelby,248835,120363,35761696
